target,level,n,pct
0.5,specific,87167,79.89129936667675
0.5,L1,19835,18.17940187155728
0.5,category,2087,1.9128011951570476
0.5,unassigned,18,0.016497566608925183
0.6,specific,79329,72.70752563996811
0.6,L1,21523,19.72650700688315
0.6,category,8231,7.543970597670177
0.6,unassigned,24,0.02199675547856691
0.7,specific,71461,65.49625596891126
0.7,L1,22510,20.631123575939217
0.7,category,15112,13.850623699670965
0.7,unassigned,24,0.02199675547856691
0.75,specific,66890,61.30679058172253
0.75,L1,21093,19.332398471225495
0.75,category,21100,19.33881419157341
0.75,unassigned,24,0.02199675547856691
0.8,specific,61744,56.59031959452648
0.8,L1,20918,19.17200546252761
0.8,category,7616,6.9803037385319
0.8,unassigned,18829,17.257371204414017
0.85,specific,58323,53.454865407352415
0.85,L1,18249,16.725782947015315
0.85,category,5533,5.071168669287947
0.85,unassigned,27002,24.74818297634432
0.9,specific,45392,41.60319686179622
0.9,L1,20651,18.927291557828553
0.9,category,5107,4.680726259543384
0.9,unassigned,37957,34.78878532083184
0.95,specific,35494,32.53136828984391
0.95,L1,17577,16.109873793615442
0.95,category,11904,10.910390717369188
0.95,unassigned,44132,40.44836719917146
0.99,specific,23756,21.773121797868146
0.99,L1,8959,8.211205513853374
0.99,category,19612,17.97501535190226
0.99,unassigned,56780,52.04065733637622
